feature,shap_importance
ca,0.8379177378737311
sex,0.610103173720762
thal,0.5394498116217246
cp,0.5290431401382645
thalach,0.4387171059508613
chol,0.36108143811784277
exang,0.22818089144132683
slope,0.20842559220019688
restecg,0.19796893101268237
trestbps,0.132365357330094
oldpeak,0.10745200765673456
fbs,0.10692243059392623
age,0.009142602329495013
