feature,mean_importance
chol,-0.02038022413202466
age,0.0005964238511984466
fbs,0.004338757114998692
oldpeak,0.006894173824251659
restecg,0.006928403832991559
thalach,0.00898525320334751
cp,0.013810100930725756
trestbps,0.016702955849844613
exang,0.020569480645233496
slope,0.021017433102564674
sex,0.08104409675682131
thal,0.08154340913545999
ca,0.10812804329496073
