feature,mean_importance
chol,-0.0016791333618899618
age,-0.0016538983188984612
restecg,-0.00046349852350064947
fbs,0.0
exang,0.0
slope,0.00021032194696772865
trestbps,0.0015027009233622214
thalach,0.0032135545591880587
sex,0.009770723515720281
oldpeak,0.02285870039585749
cp,0.025377525448542992
ca,0.02738043775375132
thal,0.04083096577377423
