feature,mean_importance
oldpeak,-0.2810788947858846
cp,-0.07792946082811639
fbs,0.0
trestbps,0.0
restecg,0.0
slope,0.0
exang,0.0
chol,0.0
age,0.004856204603108027
thalach,0.006155995225899602
sex,0.07540342662164742
ca,0.2195744536851187
thal,0.45875426685158516
