feature,mean_importance
chol,-0.001980200074788796
fbs,-0.00016221036552774848
age,0.0005643549034781814
restecg,0.0008645242016647181
trestbps,0.0011789664079874585
exang,0.006200979215232771
sex,0.006377866139520049
slope,0.006987305552628054
thalach,0.013567530786846572
oldpeak,0.02672656969168129
cp,0.04714031651264372
ca,0.07431336713502207
thal,0.12252503667367214
