0,0.7477808255869106,
1,0.5367334138652957,
2,0.44357754246333253,
3,0.4085754257297184,
4,0.3812157269033957,
5,0.3369610840609164,
6,0.3020500316258598,
7,0.2834849545612719,
8,0.2608990752462104,
9,0.22887157966175734,
10,0.20320513398926637,
11,0.18297489853934235,
12,0.16358549176655005,
13,0.14036857390665314,
14,0.12014398184578017,
15,0.10452679464137282,
16,0.0902106337012902,
17,0.07536995054707153,
18,0.06166828040022538,
19,0.051570894059931795,
20,0.04306846965188521,
21,0.036929281443640175,
22,0.03134842257294967,
23,0.025045987627879462,
24,0.02044309650894045,
25,0.01673181255763496,
26,0.014306670342308555,
27,0.012159414400910881,
28,0.009714904549182857,
29,0.008587141480851391,
30,0.00885964197349585,
31,0.007573314681719134,
32,0.007232605265889354,
33,0.006791849565675238,
34,0.005957345882571757,
35,0.0050235940342862676,
36,0.00410184321577793,
37,0.00316676357890136,
38,0.0019516955010344507,
39,0.0013755625624300837,
40,0.0009694726880887225,
41,0.0006370634763186076,
42,0.0004240301139796372,
43,0.0003381931304673615,
44,0.000321410020967301,
45,0.00030873834631947947,
46,0.00027957777229466955,
47,0.00024759466268018814,
48,0.0002231146671701246,
49,0.00020338906020777415,
50,0.0001870289257700252,
51,0.00017533672398881384,
52,0.00016793415383262736,
53,0.0001633184314956254,
54,0.00015980810878113175,
55,0.0001565998724158095,
