feature,mean_importance
thalach,-0.04543275191088188
chol,-0.01942302267032294
trestbps,-0.018784575498853706
cp,-0.010212568152746593
restecg,-0.003517167349282646
exang,0.00670415571375651
fbs,0.007039531325103776
age,0.007321828572906475
slope,0.0162035167942412
oldpeak,0.029163950457183264
sex,0.03940470940347638
ca,0.040030345440275616
thal,0.10692380329640341
